entry_time,exit_time,direction,pnl_abs,win
2020-08-20 12:00:00,2020-08-20 20:00:00,L,2998.1073238198346,True
2020-08-21 12:00:00,2020-08-21 16:00:00,L,6695.027810943375,True
2020-08-26 08:00:00,2020-08-26 12:00:00,L,6828.9283671622425,True
2020-08-31 08:00:00,2020-08-31 16:00:00,L,4416.575164288535,True
2020-09-01 20:00:00,2020-09-02 04:00:00,L,-2821.535375116503,False
2020-09-09 04:00:00,2020-09-09 08:00:00,L,-2798.963092115571,False
2020-09-10 08:00:00,2020-09-10 12:00:00,L,6941.428468446616,True
2020-09-10 20:00:00,2020-09-11 04:00:00,L,-1282.4492664122843,False
2020-09-14 12:00:00,2020-09-14 16:00:00,L,7054.608052487301,True
2020-09-15 16:00:00,2020-09-15 20:00:00,L,-2878.280085414819,False
2020-09-16 20:00:00,2020-09-17 00:00:00,L,-2855.2538447315005,False
2020-10-12 08:00:00,2020-10-12 12:00:00,L,-2832.4118139736483,False
2020-10-21 12:00:00,2020-10-21 16:00:00,L,7024.381298654649,True
2020-11-04 08:00:00,2020-11-04 12:00:00,L,7164.868924627743,True
2020-11-06 04:00:00,2020-11-06 08:00:00,L,7308.166303120296,True
2020-12-07 12:00:00,2020-12-07 16:00:00,L,7454.329629182703,True
2020-12-08 12:00:00,2020-12-08 16:00:00,L,7603.416221766357,True
2020-12-18 08:00:00,2020-12-18 16:00:00,L,4011.028849492283,True
2020-12-18 20:00:00,2020-12-21 00:00:00,L,7724.541493880147,True
2020-12-22 08:00:00,2020-12-22 12:00:00,L,-3196.078381227653,False
2020-12-23 00:00:00,2020-12-23 08:00:00,L,3271.0140228576875,True
2020-12-28 12:00:00,2020-12-28 20:00:00,L,1808.434429479311,True
2020-12-30 12:00:00,2020-12-30 16:00:00,L,8027.863354491319,True
2021-01-06 04:00:00,2021-01-06 08:00:00,L,8188.4206215811455,True
2021-01-06 12:00:00,2021-01-06 20:00:00,L,-3340.8756136051074,False
2021-01-21 08:00:00,2021-01-21 12:00:00,L,-3314.148608696267,False
2021-04-07 04:00:00,2021-04-07 12:00:00,L,-3287.6354198266968,False
2021-04-09 08:00:00,2021-04-09 12:00:00,L,-3261.3343364680827,False
2021-04-19 16:00:00,2021-04-20 00:00:00,L,-2279.5465549202027,False
2021-04-22 08:00:00,2021-04-22 12:00:00,L,-3217.0072893369766,False
2021-04-23 08:00:00,2021-04-23 12:00:00,L,-3191.2712310222805,False
2021-04-23 16:00:00,2021-04-26 00:00:00,L,-2039.9910543496421,False
2021-04-26 12:00:00,2021-04-26 20:00:00,L,3523.495249946779,True
2021-04-29 16:00:00,2021-04-30 00:00:00,L,6249.412652440696,True
2021-04-30 04:00:00,2021-04-30 12:00:00,L,1927.32499537821,True
2021-05-04 04:00:00,2021-05-04 08:00:00,L,-3243.022995921431,False
2021-05-04 12:00:00,2021-05-04 16:00:00,L,-3217.07881195406,False
2021-05-05 08:00:00,2021-05-05 16:00:00,L,5029.416325023852,True
2021-05-11 00:00:00,2021-05-11 04:00:00,L,-3231.577512058618,False
2021-05-12 04:00:00,2021-05-12 12:00:00,L,5344.03075706276,True
2021-05-12 16:00:00,2021-05-12 20:00:00,L,-3248.4771380186517,False
2021-05-13 08:00:00,2021-05-13 12:00:00,L,8056.2233022862565,True
2021-05-18 16:00:00,2021-05-19 00:00:00,L,2553.1884741564168,True
2021-05-19 12:00:00,2021-05-19 16:00:00,L,8268.41153781511,True
2021-05-21 04:00:00,2021-05-21 12:00:00,L,1950.1388253190298,True
2021-05-21 16:00:00,2021-05-23 20:00:00,L,5039.2852915126905,True
2021-05-24 08:00:00,2021-05-24 12:00:00,L,-3429.427300363218,False
2021-05-25 04:00:00,2021-05-25 12:00:00,L,2284.247531348299,True
2021-05-26 16:00:00,2021-05-26 20:00:00,L,-3420.265862211099,False
2021-05-27 12:00:00,2021-05-27 16:00:00,L,-3392.90373531341,False
2021-05-28 08:00:00,2021-05-28 12:00:00,L,-3365.760505430903,False
2021-05-31 08:00:00,2021-05-31 16:00:00,L,249.72051139871152,True
2021-06-02 04:00:00,2021-06-02 12:00:00,L,5451.55587354668,True
2021-06-03 04:00:00,2021-06-03 08:00:00,L,-3384.4446324670184,False
2021-06-07 04:00:00,2021-06-07 16:00:00,L,6920.5817030810795,True
2021-06-08 04:00:00,2021-06-08 08:00:00,L,-3412.733729031931,False
2021-06-09 08:00:00,2021-06-09 16:00:00,L,-820.6410309381082,False
2021-06-10 08:00:00,2021-06-10 12:00:00,L,-3378.8667309521707,False
2021-06-11 12:00:00,2021-06-11 16:00:00,L,-3351.8357971045534,False
2021-07-12 12:00:00,2021-07-12 20:00:00,L,5350.550174235833,True
2021-07-15 12:00:00,2021-07-15 20:00:00,L,5767.721236151764,True
2021-07-16 04:00:00,2021-07-16 08:00:00,L,-3413.9672820108176,False
2021-07-19 08:00:00,2021-07-19 12:00:00,L,-3386.655543754731,False
2021-07-28 12:00:00,2021-07-28 20:00:00,L,14876.412737547782,True
2021-07-30 04:00:00,2021-07-30 12:00:00,L,30.19461995362668,True
2021-07-30 16:00:00,2021-08-01 20:00:00,L,-217.36836570620488,False
2021-08-02 08:00:00,2021-08-02 12:00:00,L,8692.690528347637,True
2021-08-03 04:00:00,2021-08-03 12:00:00,L,3824.521313666234,True
2021-08-04 12:00:00,2021-08-04 16:00:00,L,-3577.2139060751656,False
2021-08-17 20:00:00,2021-08-18 04:00:00,L,6372.85104958054,True
2021-08-18 12:00:00,2021-08-18 16:00:00,L,-3599.579003223209,False
2021-08-24 04:00:00,2021-08-24 12:00:00,L,3915.2256220660365,True
2021-08-24 20:00:00,2021-08-25 00:00:00,L,-3602.1041761739516,False
2021-08-25 16:00:00,2021-08-26 00:00:00,L,-1090.8013860934554,False
2021-08-26 04:00:00,2021-08-26 08:00:00,L,-3564.5609316758123,False
2021-08-30 04:00:00,2021-08-30 12:00:00,L,2047.5168593018543,True
2021-08-30 16:00:00,2021-08-31 00:00:00,L,2241.6052837803027,True
2021-08-31 12:00:00,2021-08-31 16:00:00,L,-3570.3574213670627,False
2021-09-02 04:00:00,2021-09-02 12:00:00,L,4024.343160337427,True
2021-09-03 12:00:00,2021-09-03 16:00:00,L,8934.973268197064,True
2021-09-06 04:00:00,2021-09-06 12:00:00,L,-3216.3607451353027,False
